代码,名称,涨跌幅度,前收盘,最高,最低,收盘,振荡幅度,成交量,总金额,市场比%%,换手率%%,5日量变%%
300492,山鼎设计,585.73,8.13,74,10.78,55.75,586.46,   6.45亿, 298.6亿,0.04,3098.7,203286.88
300513,恒泰实达,577.27,14.08,156.75,18.58,95.36,743.65,   2.06亿, 238.6亿,0.03,1079.25,42625.89
002813,路畅科技,567.26,8.95,79.63,10.91,59.72,629.88,   1.15亿,  79.6亿,0.01,383.32,103805.27
300519,新光药业,566.3,15.34,133,19.33,102.21,588.05,   2.34亿, 268.8亿,0.03,1169.18,60048.75
300493,润欣科技,550.8,8.76,88.6,10.58,57.01,737.43,   9.37亿, 537.2亿,0.06,3123.71,61226.6
300542,新晨科技,541.78,10.58,78.86,13,67.9,506.62,   1.20亿,  84.7亿,0.01,530.1,87797.8
603986,兆易创新,537.66,27.91,188.47,36.84,177.97,411.59,   3202万,  56.3亿,0.01,128.09,397699.28
603159,上海亚虹,535.92,9.91,64.98,10.9,63.02,496.15,   3.23亿, 175.3亿,0.03,1292.27,251418.06
300553,集智股份,530.12,16.9,125.66,22.31,106.49,463.25,   3760万,  44.3亿,0.01,313.37,165346.8
002786,银宝山新,524.44,4.46,35.92,5.63,27.85,538.01,  23.72亿, 824.9亿,0.1,2487.72,159077.78
300546,雄帝科技,515.5,24.52,167.58,32.36,150.92,417.86,   7422万, 110.6亿,0.01,556.38,412283.84
300548,博创科技,513.77,15.25,114.6,18.61,93.6,515.8,   1.01亿, 103.8亿,0.01,490.68,135422.72
002802,洪汇新材,513.13,11.27,91.44,14.93,69.1,512.46,   5.81亿, 423.3亿,0.05,2150.29,60125.9
601882,海天精工,512.04,2.16,13.22,2.38,13.22,455.46,768917,  769万,0,1.47,2316.96
300502,新易盛,511.41,25.76,169.5,34.01,157.5,398.38,   5.48亿, 594.2亿,0.07,2822.66,130100.09
603528,多伦科技,495,13.61,113.88,14.97,80.98,660.72,   7.00亿, 603.0亿,0.11,1354.82,22020.01
300522,世名科技,492.99,22.26,148.33,29.38,132,404.87,   3.43亿, 418.0亿,0.05,2056.24,200757.63
603859,能科股份,488.73,9.05,60.45,11.95,53.28,405.86,   8322万,  46.2亿,0.01,293.15,66040.2
300515,三德科技,485.21,10.28,90.45,13.57,60.16,566.54,   3.51亿, 258.6亿,0.03,1402.43,34731.41
002793,东音股份,485.1,14.36,96.84,18.96,84.02,410.76,   7.65亿, 503.2亿,0.06,3059.78,171585.77
603322,超讯通信,483.18,14.39,95.18,19,83.92,400.95,   2.14亿, 167.5亿,0.03,1069.31,180305.58
300497,富祥股份,477.25,12.31,102.59,15.86,71.06,546.85,   6.27亿, 601.5亿,0.07,2321.43,33061.08
300545,联得装备,476.85,16.2,112.3,21.38,93.45,425.26,   1.30亿, 127.0亿,0.02,730.52,204909
002816,和科达,472.91,10.63,66.68,13.13,60.9,407.84,   9971万,  59.6亿,0.01,398.84,247604.39
300557,理工光科,467.53,16.69,113.09,22.03,94.72,413.35,   2390万,  25.0亿,0,170.73,328708.69
002799,环球印务,458.44,10.54,88.1,12.64,58.86,596.99,   2.90亿, 195.6亿,0.02,1160.7,62605.55
002778,高科石化,457.31,10.12,65.75,13.38,56.4,391.41,   8.35亿, 389.0亿,0.05,3744.46,72384.78
300560,中富通,456.5,13.54,87,16.25,75.35,435.38,   3473万,  27.8亿,0,198.11,384844.16
300508,维宏股份,451.46,26.35,259.97,31.65,145.31,721.39,   2.85亿, 453.1亿,0.05,2415.39,44487.93
603663,三祥新材,448.42,7.6,53.6,8.36,41.68,541.15,   4.34亿, 194.4亿,0.04,1292.28,54933.54
002798,帝王洁具,441.2,12.38,97.58,16.44,67,493.55,   2.82亿, 215.8亿,0.03,1303.81,36827.16
002808,苏州恒久,441.08,9.25,63.45,12.21,50.05,419.66,   3.35亿, 182.4亿,0.02,1117.03,80554.57
603090,宏盛股份,436.32,10.16,73.63,13.42,54.49,448.66,   3.16亿, 178.2亿,0.03,1262.55,63931.18
300521,爱司凯,432.94,13.51,99.97,17.83,72,460.68,   2.82亿, 231.6亿,0.03,1409.5,132830.33
603822,嘉澳环保,427.36,14.11,82.45,18.62,74.41,342.8,   4.79亿, 299.9亿,0.06,2611.88,121451.72
300550,和仁科技,424.79,16.54,110.24,19.84,86.8,455.65,   5074万,  49.9亿,0.01,253.68,99311.68
603160,汇顶科技,422.36,23.3,178,30.76,121.71,478.67,   1.12亿, 162.7亿,0.03,248.79,92372.7
300536,农尚环境,421.44,10.87,68.68,14.36,56.68,378.27,   2.00亿, 118.8亿,0.01,861.23,430330.28
603398,邦宝益智,417.9,9.05,59.77,9.96,46.87,500.1,  10.29亿, 591.3亿,0.11,1948.37,131718.11
300551,古鳌科技,414.99,16.48,109.96,19.77,84.87,456.2,   4833万,  46.7亿,0.01,263.25,118965.07
002795,永和智控,414.03,17.82,96,23.52,91.6,308.16,   7.54亿, 486.6亿,0.06,3014.13,158374.59
300541,先进数通,410.92,13.28,77.65,17.53,67.85,342.95,   2.34亿, 164.8亿,0.02,779.97,122529.5
300510,金冠电气,404.31,8.12,52.5,9.74,40.95,439.01,   4.95亿, 352.3亿,0.04,1134.46,92558.59
300530,达志科技,403.49,15.77,103.89,18.93,79.4,448.81,   1.88亿, 161.4亿,0.02,1074.46,165991.92
300532,今天国际,402.35,19.58,115.9,25.85,98.36,348.36,   2.37亿, 227.1亿,0.03,1129.16,279396.88
603977,国泰集团,401.55,7.74,38.82,10.22,38.82,279.84,   2290万,  8.36亿,0,41.43,133991.23
002819,东方中科,401.34,5.95,29.83,7.85,29.83,280,340870,  809万,0,1.2,2156.87
300523,辰安科技,399.89,26.3,193.07,34.72,131.47,456.08,   1.46亿, 232.5亿,0.03,732.07,119703.75
300543,朗科智能,397.98,29.72,166.88,35.67,148,367.84,   1.37亿, 184.4亿,0.02,913.01,255271.22
002796,世嘉科技,388.42,14.94,99.28,19.92,72.97,398.39,   5.72亿, 416.6亿,0.05,2857.99,67264.47
300552,万集科技,385.58,14.7,88.2,19.4,71.38,354.64,   7084万,  55.9亿,0.01,265.32,97092.38
603779,威龙股份,381.63,6.64,48.91,7.3,31.98,570,   7.73亿, 304.7亿,0.06,1540.52,17952.98
300518,盛讯达,379.07,26.66,190.7,35.2,127.72,441.76,   2.17亿, 316.9亿,0.04,930.02,41280.66
002810,山东赫达,377.54,11.89,68.3,15.7,56.78,335.03,   2.52亿, 144.1亿,0.02,1049.23,80933.34
603028,赛福天,375.53,6.13,38.5,6.74,29.15,471.22,  15.56亿, 449.0亿,0.09,2819.12,87280
300534,陇神戎发,369.11,16.67,89.26,21.6,78.2,313.24,   2.02亿, 143.2亿,0.02,930.64,225197.64
300501,海顺新材,357.28,28.56,149.14,34.38,130.6,333.8,   4.52亿, 471.5亿,0.06,3375.25,39830.89
300563,神宇股份,355.33,10.61,48.31,14,48.31,245.07,181910,  724万,0,0.91,2082.5
603069,海汽集团,354.8,4.58,27.98,6.05,20.83,362.48,  11.12亿, 258.8亿,0.05,1407.45,48654.48
603887,城地股份,348.49,14.56,77.99,19.22,65.3,305.78,   1.42亿,  99.1亿,0.02,577.87,107182.7
300516,久之洋,348.44,27,197.98,35.64,121.08,455.5,   2.91亿, 433.7亿,0.05,969.68,21332.5
601020,华钰矿业,346.71,8.52,53.87,11.27,38.06,377.99,  17.83亿, 590.1亿,0.11,3428.67,74406.45
603131,上海沪工,345.35,14.53,108,15.98,64.71,575.84,   2.46亿, 193.4亿,0.04,982.72,31729.54
603843,正平股份,344.87,6.04,34.39,7.96,26.87,332.04,  11.96亿, 287.6亿,0.05,1200.02,173232.98
601500,通用股份,343.9,5.9,31.58,7.79,26.19,305.39,  23.99亿, 502.8亿,0.1,1371.43,219853.58
603029,天鹅股份,343.39,12.86,68.84,14.15,57.02,386.5,   8.17亿, 413.0亿,0.08,3499.19,54996.92
603777,来伊份,342.43,14,82.37,18.48,61.94,345.73,   6.25亿, 382.6亿,0.07,1042.11,146711.08
300537,广信材料,342.34,11.03,55.28,14.55,48.79,279.93,   7528万,  37.4亿,0,301.11,227671.92
300499,高澜股份,341.44,11.27,65,13.55,49.75,379.7,   6.08亿, 437.8亿,0.05,2024.68,101609.16
300528,幸福蓝海,339.63,8.73,51.8,10.48,38.38,394.27,   7.85亿, 338.2亿,0.04,1011.19,50716.98
603738,泰晶科技,335.83,19.37,98.99,25.56,84.42,287.28,   1.10亿,  97.3亿,0.02,659.52,79316.52
300538,同益股份,333.94,20.92,110,25.1,90.78,338.25,   1.53亿, 147.3亿,0.02,1093.66,152362.16
300535,达威股份,332.25,22.2,122.41,29.3,95.96,317.78,   1.27亿, 130.8亿,0.02,852.17,72577.83
300549,优德精密,326.97,19.84,107.75,23.8,84.71,352.73,   9457万,  91.5亿,0.01,567.3,135998.8
300517,海波重科,326.7,13.26,79.4,15.91,56.58,399.06,   2.91亿, 182.5亿,0.02,1137.06,122801.71
000935,四川双马,326.47,7.33,42,5.06,31.26,730.04,  41.04亿, 706.0亿,0.09,651.93,92
603060,国检集团,326.14,12.05,51.35,15.91,51.35,222.75,   1.04亿,  48.7亿,0.01,189.47,381741.25
601611,中国核建,325.96,4.16,23.68,5.5,17.72,330.55,  48.81亿, 905.8亿,0.17,929.78,55430.68
300490,华自科技,323.73,5.9,34.96,7.1,25,392.39,  12.04亿, 383.6亿,0.05,2407.8,76447.59
300529,健帆生物,321.3,12.96,82.68,17.11,54.6,383.23,   2.83亿, 185.3亿,0.02,674.87,42829.73
603189,网达软件,320.57,10.45,56.98,11.5,43.95,395.48,   4.37亿, 202.7亿,0.04,791.49,84945.45
000520,长航凤凰,317.16,1.69,21.6,6.58,7.05,228.27,  137.6亿,  1446亿,0.17,1359.65,-78.24
300566,激智科技,314.11,17.93,74.25,23.66,74.25,213.82,164300, 1052万,0,0.83,1496.35
002817,黄山胶囊,313.09,16.66,83.46,21.99,68.82,279.54,   5879万,  44.3亿,0.01,271.3,68300.96
300555,路通视信,312.23,18.48,96,24.4,76.18,293.44,   8241万,  71.7亿,0.01,412.05,81146.23
300507,苏奥传感,310.4,32.89,165.88,39.47,134.98,320.27,   4.14亿, 485.3亿,0.06,2483.16,82292.02
603007,花王股份,309.58,13.99,71.78,18.47,57.3,288.63,   3.90亿, 222.2亿,0.04,1169.29,100122.38
300509,新美星,306.94,17.15,94.4,20.64,69.79,357.36,   5.22亿, 365.9亿,0.04,2609.97,61650.63
603203,快克股份,302.37,19.8,90.23,26.14,79.67,245.18,   3634万,  29.7亿,0.01,157.99,293330.97
002787,华源包装,301.01,13.87,60.35,17.51,55.62,244.66,  12.71亿, 558.2亿,0.07,3609.88,100413.9
601127,小康股份,300.43,6.97,46.54,9.21,27.91,405.32,  10.71亿, 359.4亿,0.07,751.72,22484.27
603067,振华股份,298.19,8.83,45.27,9.71,35.16,366.22,   6.95亿, 228.4亿,0.04,1264.22,148945.52
603031,安德利,297.21,16.86,89.97,18.55,66.97,385.01,   3.20亿, 228.3亿,0.04,1598.54,74409.88
603016,新宏泰,290.02,12.23,66.13,13.45,47.7,391.67,   6.26亿, 309.2亿,0.06,1689.65,118350.05
300500,苏州设计,286.86,27.4,124.08,32.92,106,276.91,   5.13亿, 443.4亿,0.05,3420.11,71710.57
002779,中坚科技,280.72,10.58,63.26,12.71,40.28,397.72,   7.65亿, 412.2亿,0.05,2319.08,30265.16
600233,圆通速递,277.66,10.07,39.86,9.08,38.03,338.99,  26.92亿, 694.8亿,0.13,815.63,470.52
300527,华舟应急,277.52,8.63,43.33,10.52,32.58,311.88,   7.91亿, 287.0亿,0.03,683.28,67729.89
300562,乐心医疗,276.76,18.76,70.68,24.76,70.68,185.46,69038,  388万,0,0.47,830.58
300559,佳发安泰,274.46,23.18,99.11,27.82,86.8,256.25,   5014万,  46.4亿,0.01,278.54,249715.61
603909,合诚股份,272.89,15.16,84.43,16.68,56.53,406.18,   2.95亿, 179.4亿,0.03,1178.02,25014.17
300547,川环科技,268.82,28.13,124.72,33.96,103.75,267.26,   1.15亿, 126.5亿,0.02,766.82,170089.77
603667,五洲新春,267.01,12.67,52.8,13.94,46.5,278.77,   1.85亿,  87.1亿,0.02,365.43,155548.42
603959,百利科技,265.55,8.68,47.6,9.55,31.73,398.43,   9.41亿, 360.9亿,0.07,1680.41,38311.53
603716,塞力斯,265.01,38.75,167.9,42.63,141.44,293.85,   4247万,  62.0亿,0.01,333.36,108232.94
603027,千禾味业,260.93,10.93,45.97,14.45,39.45,218.13,   9.70亿, 322.2亿,0.06,2425.7,22715.89
601595,上海电影,259.85,12.23,54.99,16.14,44.01,240.71,   7.83亿, 354.3亿,0.07,837.56,109503.15
603701,德宏股份,256.21,19.16,89.9,21.1,68.25,326.07,   4.23亿, 289.9亿,0.06,2156.83,32160.98
603696,安记食品,255.94,14.39,65.95,15.84,51.22,316.35,  10.39亿, 432.8亿,0.08,3464.85,174484.23
300495,美尚生态,254.64,13.69,62.97,16.61,48.55,279.11,   7.25亿, 466.7亿,0.06,1447.62,191253.17
603299,井神股份,251.61,5.27,24.84,5.8,18.53,328.28,  31.68亿, 574.2亿,0.11,3520.03,161381.19
300558,贝达药业,249.94,23.19,99.83,27.83,81.15,258.71,   6479万,  58.5亿,0.01,158.03,535643.31
603737,三棵树,247.1,22.55,118.1,24.85,78.27,375.25,   2.54亿, 236.8亿,0.05,1015.91,23613.16
300561,汇金科技,242.52,31.33,107.31,41.36,107.31,159.45,98934,  913万,0,0.71,1343.93
603633,徕木股份,242.22,8.1,27.72,10.69,27.72,159.31,234257,  531万,0,0.78,1168.47
603726,朗迪集团,240.62,16.89,68.99,18.58,57.53,271.31,   5.76亿, 295.8亿,0.06,2432.83,36082.73
603658,安图生物,231.54,17.5,74.83,23.1,58.02,223.94,   2.72亿, 160.7亿,0.03,647.35,42512.91
603958,哈森股份,230.69,10.98,49.73,14.5,36.31,242.97,   6.45亿, 261.3亿,0.05,1186.01,24482.32
603258,电魂网络,226.55,22.49,88.88,24.74,73.44,259.26,   2.19亿, 181.6亿,0.03,364.94,113110.03
300494,盛天网络,222.18,11.95,56.5,14.34,38.5,294,  11.24亿, 672.2亿,0.08,1873.03,141531.03
002809,红墙股份,221.63,26.95,101.48,35.57,86.68,185.3,   2.31亿, 198.7亿,0.02,1152.9,192195.38
603798,康普顿,221.17,20.64,76.88,22.7,66.29,238.68,   4.97亿, 313.5亿,0.06,1987.45,50998.57
603888,新华网,215.77,33.23,136.1,43.86,104.93,210.31,   1.64亿, 197.9亿,0.04,315.32,86474.68
603936,博敏电子,214.62,11.56,72.94,12.72,36.37,473.43,  15.44亿, 655.8亿,0.12,3689.04,81855.15
300512,中亚股份,213.07,12.55,58.19,16.56,39.29,251.39,   8.76亿, 624.6亿,0.08,1297.55,55135.86
002821,凯莱英,211.27,36.64,114.05,48.36,114.05,135.84,151581, 1430万,0,0.66,689.27
002820,桂发祥,211.19,19.92,61.99,26.29,61.99,135.79,510359, 2772万,0,1.59,2081.23
300533,冰川网络,207,48.86,189.26,58.64,150,222.75,   1.68亿, 272.3亿,0.03,670.19,97501.58
002352,鼎泰新材,206.7,15.07,57.35,9.4,46.22,510.11,  12.53亿, 545.9亿,0.07,941.97,5.56
002797,第一创业,206.54,12.69,45.48,16.77,38.9,171.2,  51.39亿,  1872亿,0.23,2346.52,16975.94
300540,深冷股份,201.59,22,82.83,26.4,66.35,213.75,   1.64亿, 116.4亿,0.01,821.59,99727.02
603861,白云电器,201.47,12.24,46.8,13.46,36.9,247.7,  16.65亿, 566.1亿,0.11,3390.82,26523.36
603520,司太立,199.83,17.2,59.9,18.95,51.57,216.09,   6.48亿, 314.1亿,0.06,2158.54,31567.88
300466,赛摩电气,199.5,9.97,41.28,10.97,29.86,276.3,  11.16亿, 525.5亿,0.06,1169.82,525.91
002788,鹭燕医药,199.23,22.18,81.88,29.35,66.37,178.98,  10.26亿, 622.7亿,0.08,3200.9,58355.14
603999,读者传媒,198.71,11.62,65.31,12.79,34.71,410.63,  20.82亿, 848.6亿,0.16,2892.33,54179.81
002695,煌上煌,190.59,9.46,35.74,6.48,27.49,451.54,  30.69亿,  1108亿,0.13,676.87,318.48
603339,四方冷链,189.43,14.67,62.3,16.14,42.46,286,   9.09亿, 450.5亿,0.09,1757.87,20551.69
002789,建艺集团,187.89,29.64,99.47,35.58,85.33,179.57,   6.14亿, 442.8亿,0.05,3023.57,37237.08
603421,鼎信通讯,184.72,16.82,62.21,22.21,47.89,180.1,   3.10亿, 155.5亿,0.03,714.25,65982.57
603987,康德莱,182.98,11.4,32.26,15.05,32.26,114.35,322193,  895万,0,0.61,1767.52
002792,通宇通讯,182.13,19.92,67.5,23.95,56.2,181.84,   7.36亿, 481.6亿,0.06,1636.24,64776.36
002602,世纪华通,180.44,13.14,41.45,14.46,36.85,186.65,  22.70亿, 565.6亿,0.07,386.17,-22.31
300459,金科娱乐,178.93,6.17,19.44,5.46,17.21,256.04,  37.52亿,  1013亿,0.12,974.27,551.15
002783,凯龙股份,167.29,37.36,156.34,44.93,99.86,247.96,   5.63亿, 526.5亿,0.06,2699.68,21950.12
002812,创新股份,164.68,28.09,92.3,37.08,74.35,148.92,   2.98亿, 228.6亿,0.03,889.52,113705.46
002815,崇达技术,162.35,21.22,71.8,25.84,55.67,177.86,   3.47亿, 205.9亿,0.02,693.61,66415.05
601900,南方传媒,159.2,7.23,23.26,9.58,18.74,142.8,  17.65亿, 344.2亿,0.07,1043.55,57756.69
300511,雪榕生物,159.09,22,78.29,26.44,57,196.1,   6.86亿, 418.0亿,0.05,1828.79,70712.89
000980,金马股份,157.61,6.18,17.17,6.8,15.92,152.5,  50.27亿, 581.6亿,0.07,951.88,163.9
300567,精测电子,157.28,23.9,61.49,31.55,61.49,94.9,43480,  242万,0,0.22,345.35
300565,科信技术,157.02,10.54,27.09,13.9,27.09,94.89,58483,  124万,0,0.15,113.26
603569,长久物流,156.21,18.52,64.38,24.44,47.45,163.42,   4.20亿, 222.7亿,0.04,1048.57,51987.52
601811,新华文轩,155.9,10.25,35.88,11.28,26.23,218.09,   8.73亿, 254.9亿,0.05,884.74,41270.65
002647,宏磊股份,155.03,23.84,65.45,21.6,60.8,203.01,   5.22亿, 220.2亿,0.03,238.1,-87.33
002694,顾地科技,154.74,13.7,37.2,9.99,34.9,272.37,  13.87亿, 249.3亿,0.03,456.32,-72.92
600977,中国电影,154.39,10.7,40.28,14.12,27.22,185.27,  22.07亿, 707.8亿,0.13,472.5,20205.13
600936,广西广电,153.99,5.76,19.71,7.6,14.63,159.34,  19.08亿, 299.1亿,0.06,635.89,43733.63
603778,乾景园林,152.71,10.89,34.25,11.99,27.52,185.65,  10.93亿, 384.6亿,0.07,2185.1,122835.2
002606,大连电瓷,151.35,16.71,42.9,12.13,42,253.67,  19.44亿, 484.5亿,0.06,1288.41,-33.64
002790,瑞尔特,150.86,21.59,60.88,25.97,54.16,134.42,   8.50亿, 404.6亿,0.05,2125.01,47333.74
002582,好想你,148.72,15.62,44.45,17.18,38.85,158.73,   7.73亿, 254.3亿,0.03,788.81,-32.6
603919,金徽酒,144.33,13.13,44.68,17.33,32.08,157.82,  13.69亿, 440.0亿,0.08,1955.71,15097.69
603996,中新科技,143.95,9.83,34.61,10.85,23.98,218.99,  20.90亿, 651.2亿,0.12,2780.79,61258
002811,亚泰国际,143.21,18.47,57.42,22.17,44.92,159,   3.99亿, 179.5亿,0.02,887.45,84814.98
300061,康耐特,141.2,11.31,31.66,12.44,27.28,154.5,  12.08亿, 297.8亿,0.04,836.63,-63.01
603515,欧普照明,138.82,17.93,54.54,23.66,42.82,130.52,   5.94亿, 274.6亿,0.05,1024.04,47642.88
002791,坚朗五金,138.59,28.32,72.93,34.02,67.57,114.37,   9.27亿, 515.2亿,0.06,2089.86,98972.91
601116,三江购物,138.54,11.65,27.79,8.01,27.79,246.94,   8.02亿, 102.7亿,0.02,199.47,192.1
300174,元力股份,136.33,25.32,61.98,15.41,59.84,302.21,   7.65亿, 205.5亿,0.02,1040.49,-67.83
002818,富森美,136.31,31.01,96.5,37.21,73.28,159.34,   1.37亿, 110.1亿,0.01,311.2,218266.28
601128,常熟银行,132.1,5.14,14.2,6.78,11.93,109.44,  18.08亿, 215.7亿,0.04,813.53,61256.49
002781,奇信股份,132.07,17.18,66.02,21.03,39.87,213.93,  13.77亿, 567.9亿,0.07,3059.16,61645.32
600908,无锡银行,131.34,5.36,15.18,7.08,12.4,114.41,  15.32亿, 201.0亿,0.04,828.84,59225.68
603866,桃李面包,128.97,19.26,61.31,21.24,44.1,188.65,  11.15亿, 444.4亿,0.08,2477.25,16465.81
002716,金贵银业,128.89,11.7,29.95,7.91,26.78,278.63,  78.78亿,  1584亿,0.19,2716.53,130.73
300304,云意电气,128.49,23.62,57.07,17.08,53.97,234.13,  12.21亿, 359.8亿,0.04,636.52,213.32
002435,长江润发,128.05,9.91,24.55,10.92,22.6,124.82,   9.10亿, 160.6亿,0.02,495.36,-79.74
002468,艾迪西,127.08,13.7,47.33,15.07,31.11,214.07,  20.99亿, 677.9亿,0.08,632.74,2.32
603608,天创时尚,119.72,11.51,32.08,15.27,25.29,110.09,  17.63亿, 443.6亿,0.08,2518.53,50530.02
002409,雅克科技,119.27,10.9,26.99,11.25,23.9,139.91,   7.07亿, 167.6亿,0.02,428.07,-70.79
002094,青岛金王,117.73,13.14,33.46,14.45,28.61,131.56,  13.51亿, 348.6亿,0.04,419.65,-49.82
300317,珈伟股份,117.09,19.95,45.6,16.35,43.31,178.9,  10.84亿, 313.0亿,0.04,646.23,271.93
600242,中昌数据,117.01,7.82,17.9,8.21,16.97,118.03,   8.38亿, 117.9亿,0.02,313.44,-20.95
603727,博迈科,114.41,29.97,64.26,32.97,64.26,94.9,   2149万,  13.4亿,0,36.61,66650.68
600069,银鸽投资,114.23,4.92,10.54,3.57,10.54,195.24,  32.91亿, 207.9亿,0.04,398.79,49.14
603313,恒康家居,113.38,22.19,60.48,24.41,47.35,147.77,   5.21亿, 253.9亿,0.05,867.83,71841.13
603336,宏辉果蔬,112.71,11.17,23.76,14.75,23.76,61.08,77100,  160万,0,0.23,578.5
603101,汇嘉时代,111.27,12.69,35.5,13.96,26.81,154.3,  13.01亿, 374.7亿,0.07,2169.12,24471.67
600547,山东黄金,110.75,18.42,50.98,15.9,38.82,220.63,  95.55亿,  3175亿,0.6,671.41,27.01
603800,道森股份,108.23,15.67,59.82,17.25,32.63,246.78,  14.82亿, 499.7亿,0.1,2850.31,43424.37
000932,华菱钢铁,108.05,2.98,6.43,2.9,6.2,121.72,  113.2亿, 497.3亿,0.06,375.48,18.24
002408,齐翔腾达,107.68,5.86,13.78,4.08,12.17,237.75,  62.31亿, 595.8亿,0.07,371.79,803.58
002807,江阴银行,107.35,5.99,17.3,7.35,12.42,135.37,  15.76亿, 216.8亿,0.03,752.59,39553.41
600531,豫光金铅,106.45,4.65,12.18,3.51,9.6,247.01,  113.1亿,  1250亿,0.24,1277.06,196.49
002150,通润装备,106.35,8.51,18.97,9.35,17.56,102.89,  14.91亿, 207.7亿,0.03,596.11,-27.48
002113,天润数娱,106.25,9.12,22.48,5.33,18.81,321.76,  52.74亿,  1225亿,0.15,1114.01,316.48
002082,栋梁新材,105.54,10.11,28.89,11.13,20.78,159.57,  18.72亿, 371.8亿,0.04,911.28,137.42
002823,凯中精密,105.39,17.06,35.04,21.75,35.04,61.1,46993,  140万,0,0.13,169.41
603377,东方时尚,105.31,19.38,55.38,25.68,39.79,115.65,   8.10亿, 340.6亿,0.06,1620.11,4000.68
600182,S佳通,105.27,16.33,40.25,13.18,33.52,205.39,   6.99亿, 156.8亿,0.03,411.47,75.09
002120,新海股份,102.75,26.19,63.1,15.49,53.1,307.36,   8.21亿, 308.5亿,0.04,836.26,-78.03
603556,海兴电力,100.78,28.36,69,37.43,56.94,84.34,   2.02亿, 126.1亿,0.02,216.87,105641.64
300340,科恒股份,99.49,33.6,91.66,21.3,67.03,330.33,  13.73亿, 782.8亿,0.09,1677.75,16.09
300072,三聚环保,99.29,23.85,55.46,17.87,47.53,210.35,  32.99亿,  1208亿,0.15,369.57,-33.49
000982,中银绒业,97.2,4.64,9.15,4.99,9.15,83.37,  54.08亿, 346.1亿,0.04,417.96,182.82
603900,通灵珠宝,94.79,20.52,39.97,22.57,39.97,77.09,296412, 1051万,0,0.49,698.26
300569,天能重工,93.3,49.88,96.42,65.85,96.42,46.42,27300,  238万,0,0.13,145.64
601966,玲珑轮胎,93.13,15.58,43,20.56,30.09,109.14,  12.58亿, 449.6亿,0.09,629.03,34759.59
603868,飞科电器,92.47,24.96,61.66,27.56,48.04,123.73,   7.04亿, 373.7亿,0.07,1614.33,17269.44
002511,中顺洁柔,92.4,10.13,22.2,7.61,19.49,191.72,  16.28亿, 227.3亿,0.03,336.67,-63.83
002537,海立美达,92.22,16.59,32.57,18.25,31.89,78.47,  13.19亿, 345.8亿,0.04,439.58,-32.96
000959,首钢股份,92.07,3.53,7.35,3.48,6.78,111.21,  117.3亿, 544.8亿,0.07,395.41,-51.7
